DoubletNumber,X,Y,Z,Idx_A,Idx_B,Angle,A_Shift,B_Shift
1,-875.0,0.0,0.0,1,0,90,-70,70
1,-875.0276891786945,-0.0486640367763683,20.0,1,1,90,-70,70
1,-875.0228983033994,-0.0401749807882562,40.0,1,1,90,-70,70
1,-874.9860818307668,0.0243770110608855,60.0,1,1,90,-70,70
1,-874.9176942174478,0.1439017818676063,80.0,1,1,90,-70,70
1,-874.8181899200937,0.3173091747284555,100.0,1,1,90,-70,70
1,-874.6880233953563,0.5435090327399822,120.0,1,1,90,-70,70
1,-874.5276490998866,0.8214111989987358,140.0,1,1,90,-70,70
1,-874.3375214903365,1.1499255166012656,160.0,1,1,90,-70,70
1,-874.1180950233573,1.5279618286441208,180.0,1,1,90,-70,70
1,-873.8698241556006,1.9544299782238503,200.0,1,1,90,-70,70
1,-873.5931633437176,2.4282398084370045,220.0,1,1,90,-70,70
1,-873.2885670443596,2.948301162380132,240.0,1,1,90,-70,70
1,-872.9564897141787,3.513523883149781,260.0,1,1,90,-70,70
1,-872.5973858098256,4.122817813842503,280.0,1,1,90,-70,70
1,-872.2117097879523,4.775092797554847,300.0,1,1,90,-70,70
1,-871.79991610521,5.469258677383359,320.0,1,1,90,-70,70
1,-871.3624592182501,6.204225296424592,340.0,1,1,90,-70,70
1,-870.8997935837241,6.978902497775094,360.0,1,1,90,-70,70
1,-870.4123736582836,7.792200124531414,380.0,1,1,90,-70,70
1,-869.9006538985799,8.643028019790101,400.0,1,1,90,-70,70
1,-869.3650887612646,9.530296026647706,420.0,1,1,90,-70,70
1,-868.806132702989,10.45291398820078,440.0,1,1,90,-70,70
1,-868.2242401804045,11.409791747545864,460.0,1,1,90,-70,70
1,-867.6198656501628,12.399839147779511,480.0,1,1,90,-70,70
1,-866.9934635689151,13.42196603199828,500.0,1,1,90,-70,70
1,-866.345488393313,14.475082243298706,520.0,1,1,90,-70,70
1,-865.6763945800078,15.558097624777348,540.0,1,1,90,-70,70
1,-864.9866365856511,16.669922019530752,560.0,1,1,90,-70,70
1,-864.2766688668944,17.809465270655465,580.0,1,1,90,-70,70
1,-863.5469458803889,18.97563722124804,600.0,1,1,90,-70,70
1,-862.7979220827863,20.16734771440502,620.0,1,1,90,-70,70
1,-862.0300519307378,21.383506593222968,640.0,1,1,90,-70,70
1,-861.2437898808952,22.623023700798417,660.0,1,1,90,-70,70
1,-860.4395903899097,23.88480888022793,680.0,1,1,90,-70,70
1,-859.6179079144327,25.167771974608044,700.0,1,1,90,-70,70
1,-858.7791969111158,26.470822827035317,720.0,1,1,90,-70,70
1,-857.9239118366104,27.79287128060629,740.0,1,1,90,-70,70
1,-857.0525071475681,29.13282717841753,760.0,1,1,90,-70,70
1,-856.1654373006401,30.48960036356556,780.0,1,1,90,-70,70
1,-855.2631567524779,31.86210067914695,800.0,1,1,90,-70,70
1,-854.3461199597332,33.24923796825824,820.0,1,1,90,-70,70
1,-853.414781379057,34.64992207399598,840.0,1,1,90,-70,70
1,-852.4695954671012,36.06306283945673,860.0,1,1,90,-70,70
1,-851.511016680517,37.48757010773701,880.0,1,1,90,-70,70
1,-850.539499475956,38.92235372193342,900.0,1,1,90,-70,70
1,-849.5554983100693,40.36632352514246,920.0,1,1,90,-70,70
1,-848.5594676395087,41.8183893604607,940.0,1,1,90,-70,70
1,-847.5518619209257,43.277461070984685,960.0,1,1,90,-70,70
1,-846.5331356109716,44.742448499810976,980.0,1,1,90,-70,70
1,-845.5037431662979,46.212261490036106,1000.0,1,1,90,-70,70
