DoubletNumber,X,Y,Z,Idx_A,Idx_B,Angle,A_Shift,B_Shift
1,-875.0,0.0,0.0,1,0,0,-70,70
1,-875.0124959121098,-0.05163980431685461,20.0,1,0,0,-70,70
1,-875.0103975659403,-0.04262338703165722,40.0,1,0,0,-70,70
1,-874.9936409878057,0.025857554696776343,60.0,1,0,0,-70,70
1,-874.9621622040208,0.1526113237096302,80.0,1,0,0,-70,70
1,-874.9158972409001,0.3364462228480885,100.0,1,0,0,-70,70
1,-874.8547821247577,0.5761705549533355,120.0,1,0,0,-70,70
1,-874.7787528819083,0.8705926228665551,140.0,1,0,0,-70,70
1,-874.6877455386663,1.2185207294289317,160.0,1,0,0,-70,70
1,-874.5816961213461,1.6187631774816496,180.0,1,0,0,-70,70
1,-874.4605406562623,2.0701282698658923,200.0,1,0,0,-70,70
1,-874.3242151697291,2.5714243094228446,220.0,1,0,0,-70,70
1,-874.1726556880612,3.121459598993691,240.0,1,0,0,-70,70
1,-874.005798237573,3.7190424414196133,260.0,1,0,0,-70,70
1,-873.8235788445792,4.362981139541798,280.0,1,0,0,-70,70
1,-873.6259335353938,5.052083996201431,300.0,1,0,0,-70,70
1,-873.4127983363314,5.785159314239692,320.0,1,0,0,-70,70
1,-873.1841092737064,6.5610153964977656,340.0,1,0,0,-70,70
1,-872.9398023738336,7.378460545816841,360.0,1,0,0,-70,70
1,-872.6798136630271,8.236303065038097,380.0,1,0,0,-70,70
1,-872.4040791676015,9.13335125700272,400.0,1,0,0,-70,70
1,-872.1125349138714,10.068413424551895,420.0,1,0,0,-70,70
1,-871.8051169281509,11.040297870526803,440.0,1,0,0,-70,70
1,-871.4817612367548,12.047812897768633,460.0,1,0,0,-70,70
1,-871.1424038659973,13.089766809118565,480.0,1,0,0,-70,70
1,-870.7869808421929,14.164967907417783,500.0,1,0,0,-70,70
1,-870.4154281916562,15.272224495507473,520.0,1,0,0,-70,70
1,-870.0276819407015,16.41034487622882,540.0,1,0,0,-70,70
1,-869.6236781156435,17.578137352423006,560.0,1,0,0,-70,70
1,-869.2033527427966,18.774410226931217,580.0,1,0,0,-70,70
1,-868.7666418484749,19.997971802594634,600.0,1,0,0,-70,70
1,-868.3134814589932,21.247630382254446,620.0,1,0,0,-70,70
1,-867.843807600666,22.52219426875184,640.0,1,0,0,-70,70
1,-867.3575562998074,23.820471764927984,660.0,1,0,0,-70,70
1,-866.8546635827323,25.141271173624077,680.0,1,0,0,-70,70
1,-866.3350654757547,26.483400797681302,700.0,1,0,0,-70,70
1,-865.7986980051895,27.84566893994083,720.0,1,0,0,-70,70
1,-865.2454971973508,29.22688390324387,740.0,1,0,0,-70,70
1,-864.6753990785534,30.625853990431587,760.0,1,0,0,-70,70
1,-864.0883396751113,32.04138750434515,780.0,1,0,0,-70,70
1,-863.4842550133394,33.47229274782579,800.0,1,0,0,-70,70
1,-862.863081119552,34.91737802371465,820.0,1,0,0,-70,70
1,-862.2247540200634,36.375451634852936,840.0,1,0,0,-70,70
1,-861.5692097411884,37.84532188408181,860.0,1,0,0,-70,70
1,-860.8963843092411,39.32579707424248,880.0,1,0,0,-70,70
1,-860.2062137505361,40.81568550817613,900.0,1,0,0,-70,70
1,-859.4986340913879,42.31379548872391,920.0,1,0,0,-70,70
1,-858.773581358111,43.81893531872704,940.0,1,0,0,-70,70
1,-858.0309915770198,45.32991330102671,960.0,1,0,0,-70,70
1,-857.2708007744286,46.845537738464074,980.0,1,0,0,-70,70
1,-856.492944976652,48.36461693388032,1000.0,1,0,0,-70,70
1,-855.6973602100045,49.88595919011665,1020.0,1,0,0,-70,70
1,-854.8839825008005,51.40837281001424,1040.0,1,0,0,-70,70
